identifier,name,size,length,url,collection,title,mediatype,year,description,subject
tobacco_qno71d00,VTS_01_1_512kb.mp4,125757784,1735.68,https://archive.org/download/tobacco_qno71d00/VTS_01_1_512kb.mp4,"industry-archives,newsandpublicaffairs,medicalheritagelibrary",movies,"People of California v. Philip Morris Incorporated Et Al. Edward Blackmer Deposition Winston-Salem, NC; Tape 2 of 6 [Parts 1-5]",,"Deposition of Edward Blackmer, head of the Marketing Operations Department at R.J. Reynolds, testifying in the People of California, and the Commonwealth of Massachusetts, v. Philip Morris Incorporated Et Al.

<a href=""http://www.archive.org/details/tobacco_qno71d00a"" rel=""nofollow"">Click Here to View Part 1</a>

<a href=""http://www.archive.org/details/tobacco_qno71d00b"" rel=""nofollow"">Click Here to View Part 2</a>

<a href=""http://www.archive.org/details/tobacco_qno71d00c"" rel=""nofollow"">Click Here to View Part 3</a>

<a href=""http://www.archive.org/details/tobacco_qno71d00d"" rel=""nofollow"">Click Here to View Part 4</a>

<a href=""http://www.archive.org/details/tobacco_qno71d00e"" rel=""nofollow"">Click Here to View Part 5</a>","tobacco , cigarette , marketing , advertising , promotions , promotional merchandise , sales , event sponsorship , sports sponsorship , youth , smoking prevention , marketing research , tobacco control , lobbying , cigarette brands , filter , demographics , tar , nicotine , working class , international trade , marketing strategy , cigarette promotion code , low yield cigarette , age group , smoker behavior"
tobacco_kon79e00,VTS_01_1_512kb.mp4,50413643,692.66,https://archive.org/download/tobacco_kon79e00/VTS_01_1_512kb.mp4,"industry-archives,newsandpublicaffairs,medicalheritagelibrary",movies,Thomas Osdene Deposition Preparation,1996,"Thomas Osdene, Director of Science and Technology at Philip Morris, practices speaking in front of a group in preparation for his deposition.","tobacco , cigarette , legal activity , lawsuit"
opioids_yfxh0257,yfxh0257-0001.ia.mp4,709806303,3563.0,https://archive.org/download/opioids_yfxh0257/yfxh0257-0001.ia.mp4,"industry-archives,newsandpublicaffairs",movies,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",2018,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,"lawsuit, legal activity, litigation, opioids, sales, marketing"
opioids_yfxh0257,yfxh0257-0001.mp4,709806303,3563.0,https://archive.org/download/opioids_yfxh0257/yfxh0257-0001.mp4,"industry-archives,newsandpublicaffairs",movies,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",2018,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,"lawsuit, legal activity, litigation, opioids, sales, marketing"
opioids_yfxh0257,yfxh0257-0002.ia.mp4,876775594,4404.11,https://archive.org/download/opioids_yfxh0257/yfxh0257-0002.ia.mp4,"industry-archives,newsandpublicaffairs",movies,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",2018,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,"lawsuit, legal activity, litigation, opioids, sales, marketing"
opioids_yfxh0257,yfxh0257-0002.mp4,876775594,4404.11,https://archive.org/download/opioids_yfxh0257/yfxh0257-0002.mp4,"industry-archives,newsandpublicaffairs",movies,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",2018,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,"lawsuit, legal activity, litigation, opioids, sales, marketing"
opioids_yfxh0257,yfxh0257-0003.ia.mp4,460995974,2316.13,https://archive.org/download/opioids_yfxh0257/yfxh0257-0003.ia.mp4,"industry-archives,newsandpublicaffairs",movies,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",2018,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,"lawsuit, legal activity, litigation, opioids, sales, marketing"
opioids_yfxh0257,yfxh0257-0003.mp4,460995974,2316.13,https://archive.org/download/opioids_yfxh0257/yfxh0257-0003.mp4,"industry-archives,newsandpublicaffairs",movies,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",2018,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,"lawsuit, legal activity, litigation, opioids, sales, marketing"
opioids_yfxh0257,yfxh0257-0004.ia.mp4,910494459,4574.96,https://archive.org/download/opioids_yfxh0257/yfxh0257-0004.ia.mp4,"industry-archives,newsandpublicaffairs",movies,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",2018,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,"lawsuit, legal activity, litigation, opioids, sales, marketing"
opioids_yfxh0257,yfxh0257-0004.mp4,910494459,4574.96,https://archive.org/download/opioids_yfxh0257/yfxh0257-0004.mp4,"industry-archives,newsandpublicaffairs",movies,"Deposition of James Jim Rausch, Customer Service Manager for Finished Goods",2018,Deposition of James Rauch in RE: National Prescription Opiate Litigation; in 8 parts,"lawsuit, legal activity, litigation, opioids, sales, marketing"
